epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.8331,1.44769,3.71759,1.2163,0.00367,0.98995,0.31787,0.17091,1.24439,3.38501,1.02279,0.00022,0.00022,0.00022
2,74.9664,1.24225,2.3014,1.09191,0.00359,0.96985,0.31,0.15671,1.08791,3.35868,1.01577,0.000450892,0.000450892,0.000450892
3,110.679,1.38261,2.06208,1.20159,0.00348,0.9397,0.13019,0.06602,1.15474,3.39972,1.06175,0.00067228,0.00067228,0.00067228
4,145.005,1.27593,1.76586,1.11272,0.00266,0.71859,0.00382,0.00167,1.68444,4.09466,1.48942,0.000884164,0.000884164,0.000884164
5,179.228,1.24991,1.90591,1.11606,0.00248,0.66834,0.00279,0.00121,1.77448,4.26334,1.73087,0.00108654,0.00108654,0.00108654
6,213.201,1.23079,1.5001,1.12937,0.00271,0.72362,0.021,0.01289,1.61395,3.87275,1.51937,0.00127942,0.00127942,0.00127942
7,247.127,1.1873,1.40762,1.10409,1,0.11394,0.59113,0.36204,1.34124,2.96657,1.17875,0.00146279,0.00146279,0.00146279
8,281.345,1.29211,1.41862,1.15424,0.91502,0.23618,0.40952,0.23515,1.4444,3.06571,1.27574,0.00163666,0.00163666,0.00163666
9,315.31,1.23548,1.36022,1.11623,0.90619,0.82527,0.8869,0.51328,1.37847,1.56073,1.1756,0.0016832,0.0016832,0.0016832
10,349.126,1.3306,1.5501,1.18874,0.75632,0.77985,0.81754,0.5096,1.24076,1.64082,1.12241,0.0016436,0.0016436,0.0016436
11,383.055,1.26022,1.28589,1.11956,0.87333,0.83417,0.86101,0.57892,1.17024,1.48916,1.10425,0.001604,0.001604,0.001604
12,417.351,1.16764,1.32811,1.12083,0.89809,0.84422,0.89858,0.62714,1.06399,1.20585,1.06245,0.0015644,0.0015644,0.0015644
13,451.369,1.13115,1.20179,1.11898,0.94135,0.82412,0.90014,0.62347,1.08504,1.21942,1.04953,0.0015248,0.0015248,0.0015248
14,485.053,1.1348,1.05053,1.08964,0.94545,0.8191,0.88801,0.58516,1.12123,1.34991,1.0579,0.0014852,0.0014852,0.0014852
15,518.744,1.11174,1.03125,1.07702,0.95576,0.86842,0.92716,0.62742,1.10771,1.05708,1.06234,0.0014456,0.0014456,0.0014456
16,552.831,1.16337,1.10893,1.09937,0.99228,0.84925,0.89995,0.60949,1.08539,1.05579,1.0483,0.001406,0.001406,0.001406
17,587.192,1.13925,1.01603,1.13275,0.98572,0.86432,0.93364,0.67428,0.97651,0.92306,1.01741,0.0013664,0.0013664,0.0013664
18,621.671,1.12254,1.00023,1.07822,0.94981,0.88442,0.93199,0.6639,1.02976,1.12994,1.02278,0.0013268,0.0013268,0.0013268
19,656.865,1.06632,0.94249,1.07037,0.91865,0.90792,0.9471,0.62307,1.16507,0.92132,1.06974,0.0012872,0.0012872,0.0012872
20,691.518,1.13941,1.00209,1.0839,0.94266,0.92965,0.95711,0.68771,0.99038,0.83019,1.00325,0.0012476,0.0012476,0.0012476
21,726.67,1.0682,0.9243,1.03838,0.98409,0.93267,0.9615,0.70094,0.93232,0.7943,0.98852,0.001208,0.001208,0.001208
22,761.684,1.01505,0.86689,1.05045,0.95963,0.92965,0.95387,0.71806,0.92048,0.72539,0.97336,0.0011684,0.0011684,0.0011684
23,796.092,1.0668,0.86117,1.04628,0.9659,0.90955,0.94942,0.7082,0.90811,0.76396,0.96176,0.0011288,0.0011288,0.0011288
24,830.602,1.02041,0.83978,1.03314,0.98894,0.89905,0.95198,0.7031,0.95735,0.79946,0.98526,0.0010892,0.0010892,0.0010892
25,865.413,1.04276,0.82249,1.03926,0.97517,0.92965,0.95274,0.71697,0.86962,0.73245,0.96721,0.0010496,0.0010496,0.0010496
26,899.071,1.02183,0.78271,1.03833,0.95843,0.92682,0.95777,0.71864,0.87496,0.69296,0.9752,0.00101,0.00101,0.00101
27,932.893,0.98087,0.76726,1.03064,0.98261,0.90955,0.96165,0.72687,0.88343,0.67272,0.96242,0.0009704,0.0009704,0.0009704
28,966.974,0.98259,0.74793,1.01219,0.96353,0.92927,0.95873,0.7209,0.85629,0.68037,0.95734,0.0009308,0.0009308,0.0009308
29,1000.77,1.02126,0.75968,1.02163,0.95567,0.94472,0.96242,0.7385,0.83911,0.66545,0.95338,0.0008912,0.0008912,0.0008912
30,1035.36,0.9965,0.74351,1.06591,0.95896,0.93938,0.95663,0.72781,0.87248,0.64474,0.95508,0.0008516,0.0008516,0.0008516
31,1069.37,0.97967,0.77766,1.02699,0.98896,0.90069,0.96125,0.75122,0.81557,0.64899,0.93687,0.000812,0.000812,0.000812
32,1103.19,0.96522,0.73054,1.02325,0.9893,0.93467,0.96196,0.75252,0.82346,0.61012,0.93465,0.0007724,0.0007724,0.0007724
33,1136.8,0.91144,0.68939,0.96828,0.97853,0.91623,0.9574,0.76032,0.79734,0.60745,0.92988,0.0007328,0.0007328,0.0007328
34,1170.67,0.92845,0.70734,1.02466,0.98214,0.94975,0.97207,0.75802,0.80146,0.5962,0.93266,0.0006932,0.0006932,0.0006932
35,1204.61,0.96224,0.70063,1,0.9685,0.92688,0.9643,0.76335,0.77324,0.60988,0.92319,0.0006536,0.0006536,0.0006536
36,1238.27,0.93356,0.71208,1.03952,0.97828,0.92965,0.97,0.77066,0.76236,0.59094,0.91258,0.000614,0.000614,0.000614
37,1272.09,0.92345,0.6698,1.00581,0.97864,0.92113,0.95898,0.77302,0.7478,0.58691,0.90892,0.0005744,0.0005744,0.0005744
